"State","Diagnosis Related Group","Denominator","Footnote","Measure Start Date","Measure End Date"
"VT","Chest Pain","44","","10/01/2012","09/30/2013"
"WA","Chest Pain","1204","","10/01/2012","09/30/2013"
"WI","Chest Pain","1379","","10/01/2012","09/30/2013"
"WV","Chest Pain","1078","","10/01/2012","09/30/2013"
"WY","Chest Pain","114","","10/01/2012","09/30/2013"
"AK","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","118","","10/01/2012","09/30/2013"
"AR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","81","","10/01/2012","09/30/2013"
"AZ","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","84","","10/01/2012","09/30/2013"
"CA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","490","","10/01/2012","09/30/2013"
"CO","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","85","","10/01/2012","09/30/2013"
"CT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","71","","10/01/2012","09/30/2013"
"DC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","13","","10/01/2012","09/30/2013"
"DE","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","29","","10/01/2012","09/30/2013"
"FL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","452","","10/01/2012","09/30/2013"
"GA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","80","","10/01/2012","09/30/2013"
"HI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","20","","10/01/2012","09/30/2013"
"IA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","55","","10/01/2012","09/30/2013"
"ID","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","35","","10/01/2012","09/30/2013"
"IL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","176","","10/01/2012","09/30/2013"
"IN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","163","","10/01/2012","09/30/2013"
"KS","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","49","","10/01/2012","09/30/2013"
"KY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","109","","10/01/2012","09/30/2013"
"LA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","94","","10/01/2012","09/30/2013"
"MA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","131","","10/01/2012","09/30/2013"
"MD","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","75","","10/01/2012","09/30/2013"
"ME","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","26","","10/01/2012","09/30/2013"
"MI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","217","","10/01/2012","09/30/2013"
"MN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","47","","10/01/2012","09/30/2013"
"MO","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","126","","10/01/2012","09/30/2013"
"MS","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","65","","10/01/2012","09/30/2013"
"MT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","24","","10/01/2012","09/30/2013"
"NC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","236","","10/01/2012","09/30/2013"
"ND","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","34","","10/01/2012","09/30/2013"
"NE","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","40","","10/01/2012","09/30/2013"
"NH","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","50","","10/01/2012","09/30/2013"
"NJ","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","182","","10/01/2012","09/30/2013"
"NM","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","12","","10/01/2012","09/30/2013"
"NV","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","40","","10/01/2012","09/30/2013"
"NY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","323","","10/01/2012","09/30/2013"
"OH","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","141","","10/01/2012","09/30/2013"
"OK","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","43","","10/01/2012","09/30/2013"
"OR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","76","","10/01/2012","09/30/2013"
"PA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","313","","10/01/2012","09/30/2013"
"PR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","30","","10/01/2012","09/30/2013"
"RI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"SC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","79","","10/01/2012","09/30/2013"
"SD","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","26","","10/01/2012","09/30/2013"
"TN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","125","","10/01/2012","09/30/2013"
"TX","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","283","","10/01/2012","09/30/2013"
"UT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","55","","10/01/2012","09/30/2013"
"VA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","158","","10/01/2012","09/30/2013"
"VT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"WA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","131","","10/01/2012","09/30/2013"
"WI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","88","","10/01/2012","09/30/2013"
"WV","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","32","","10/01/2012","09/30/2013"
"WY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AK","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","29","","10/01/2012","09/30/2013"
"AL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","341","","10/01/2012","09/30/2013"
"AR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","151","","10/01/2012","09/30/2013"
"AZ","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","396","","10/01/2012","09/30/2013"
"CA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","1629","","10/01/2012","09/30/2013"
"CO","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","245","","10/01/2012","09/30/2013"
"CT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","288","","10/01/2012","09/30/2013"
"DC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","99","","10/01/2012","09/30/2013"
"DE","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","29","","10/01/2012","09/30/2013"
"FL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","1468","","10/01/2012","09/30/2013"
"GA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","526","","10/01/2012","09/30/2013"
"HI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","51","","10/01/2012","09/30/2013"
"IA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","167","","10/01/2012","09/30/2013"
"ID","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","39","","10/01/2012","09/30/2013"
"IL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","917","","10/01/2012","09/30/2013"
"IN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","547","","10/01/2012","09/30/2013"
"KS","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","182","","10/01/2012","09/30/2013"
"KY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","307","","10/01/2012","09/30/2013"
"LA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","306","","10/01/2012","09/30/2013"
"MA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","598","","10/01/2012","09/30/2013"
"MD","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","319","","10/01/2012","09/30/2013"
"ME","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","62","","10/01/2012","09/30/2013"
"MI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","842","","10/01/2012","09/30/2013"
"MN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","502","","10/01/2012","09/30/2013"
"MO","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","627","","10/01/2012","09/30/2013"
"MS","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","144","","10/01/2012","09/30/2013"
"MT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","100","","10/01/2012","09/30/2013"
"NC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","704","","10/01/2012","09/30/2013"
"ND","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","68","","10/01/2012","09/30/2013"
"NE","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","134","","10/01/2012","09/30/2013"
"NH","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","117","","10/01/2012","09/30/2013"
"NJ","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","565","","10/01/2012","09/30/2013"
"NM","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","41","","10/01/2012","09/30/2013"
"NV","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","134","","10/01/2012","09/30/2013"
"NY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","1625","","10/01/2012","09/30/2013"
"OH","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","1070","","10/01/2012","09/30/2013"
"OK","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","229","","10/01/2012","09/30/2013"
"OR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","339","","10/01/2012","09/30/2013"
"PA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","1018","","10/01/2012","09/30/2013"
"PR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","24","","10/01/2012","09/30/2013"
"RI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","76","","10/01/2012","09/30/2013"
"SC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","256","","10/01/2012","09/30/2013"
"SD","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","70","","10/01/2012","09/30/2013"
"TN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","516","","10/01/2012","09/30/2013"
"TX","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","1249","","10/01/2012","09/30/2013"
"UT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","154","","10/01/2012","09/30/2013"
"VA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","551","","10/01/2012","09/30/2013"
"VT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","67","","10/01/2012","09/30/2013"
"WA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","535","","10/01/2012","09/30/2013"
"WI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","434","","10/01/2012","09/30/2013"
"WV","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","82","","10/01/2012","09/30/2013"
"WY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AK","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","34","","10/01/2012","09/30/2013"
"AL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","425","","10/01/2012","09/30/2013"
"AR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","212","","10/01/2012","09/30/2013"
"AZ","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","421","","10/01/2012","09/30/2013"
"CA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","2143","","10/01/2012","09/30/2013"
"CO","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","252","","10/01/2012","09/30/2013"
"CT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","405","","10/01/2012","09/30/2013"
"DC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","92","","10/01/2012","09/30/2013"
"DE","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","95","","10/01/2012","09/30/2013"
"FL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","1577","","10/01/2012","09/30/2013"
"GA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","562","","10/01/2012","09/30/2013"
"HI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","68","","10/01/2012","09/30/2013"
"IA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","184","","10/01/2012","09/30/2013"
"ID","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","97","","10/01/2012","09/30/2013"
"IL","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","1113","","10/01/2012","09/30/2013"
"IN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","555","","10/01/2012","09/30/2013"
"KS","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","281","","10/01/2012","09/30/2013"
"KY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","297","","10/01/2012","09/30/2013"
"LA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","353","","10/01/2012","09/30/2013"
"MA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","754","","10/01/2012","09/30/2013"
"MD","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","407","","10/01/2012","09/30/2013"
"ME","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","164","","10/01/2012","09/30/2013"
"MI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","1024","","10/01/2012","09/30/2013"
"MN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","784","","10/01/2012","09/30/2013"
"MO","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","588","","10/01/2012","09/30/2013"
"MS","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","227","","10/01/2012","09/30/2013"
"MT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","123","","10/01/2012","09/30/2013"
"NC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","789","","10/01/2012","09/30/2013"
"ND","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","80","","10/01/2012","09/30/2013"
"NE","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","273","","10/01/2012","09/30/2013"
"NH","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","179","","10/01/2012","09/30/2013"
"NJ","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","759","","10/01/2012","09/30/2013"
"NM","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","58","","10/01/2012","09/30/2013"
"NV","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","142","","10/01/2012","09/30/2013"
"NY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","1783","","10/01/2012","09/30/2013"
"OH","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","1066","","10/01/2012","09/30/2013"
"OK","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","263","","10/01/2012","09/30/2013"
"OR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","339","","10/01/2012","09/30/2013"
"PA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","1430","","10/01/2012","09/30/2013"
"PR","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","51","","10/01/2012","09/30/2013"
"RI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","79","","10/01/2012","09/30/2013"
"SC","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","362","","10/01/2012","09/30/2013"
"SD","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","76","","10/01/2012","09/30/2013"
"TN","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","516","","10/01/2012","09/30/2013"
"TX","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","1214","","10/01/2012","09/30/2013"
"UT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","146","","10/01/2012","09/30/2013"
"VA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","577","","10/01/2012","09/30/2013"
"VT","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","55","","10/01/2012","09/30/2013"
"WA","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","701","","10/01/2012","09/30/2013"
"WI","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","791","","10/01/2012","09/30/2013"
"WV","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","143","","10/01/2012","09/30/2013"
"WY","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","16","","10/01/2012","09/30/2013"
"AK","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","21","","10/01/2012","09/30/2013"
"AL","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","356","","10/01/2012","09/30/2013"
"AR","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","225","","10/01/2012","09/30/2013"
"AZ","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","456","","10/01/2012","09/30/2013"
"CA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","1463","","10/01/2012","09/30/2013"
"CO","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","207","","10/01/2012","09/30/2013"
"CT","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","264","","10/01/2012","09/30/2013"
"DC","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","121","","10/01/2012","09/30/2013"
"DE","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","67","","10/01/2012","09/30/2013"
"FL","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","1503","","10/01/2012","09/30/2013"
"GA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","561","","10/01/2012","09/30/2013"
"GU","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"HI","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","43","","10/01/2012","09/30/2013"
"IA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","265","","10/01/2012","09/30/2013"
"ID","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","61","","10/01/2012","09/30/2013"
"IL","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","967","","10/01/2012","09/30/2013"
"IN","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","566","","10/01/2012","09/30/2013"
"KS","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","173","","10/01/2012","09/30/2013"
"KY","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","345","","10/01/2012","09/30/2013"
"LA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","345","","10/01/2012","09/30/2013"
"MA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","481","","10/01/2012","09/30/2013"
"MD","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","393","","10/01/2012","09/30/2013"
"ME","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","77","","10/01/2012","09/30/2013"
"MI","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","897","","10/01/2012","09/30/2013"
"MN","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","415","","10/01/2012","09/30/2013"
"MO","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","538","","10/01/2012","09/30/2013"
"MS","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","193","","10/01/2012","09/30/2013"
"MT","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","54","","10/01/2012","09/30/2013"
"NC","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","690","","10/01/2012","09/30/2013"
"ND","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","75","","10/01/2012","09/30/2013"
"NE","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","127","","10/01/2012","09/30/2013"
"NH","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","120","","10/01/2012","09/30/2013"
"NJ","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","560","","10/01/2012","09/30/2013"
"NM","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","84","","10/01/2012","09/30/2013"
"NV","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","129","","10/01/2012","09/30/2013"
"NY","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","1314","","10/01/2012","09/30/2013"
"OH","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","899","","10/01/2012","09/30/2013"
"OK","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","261","","10/01/2012","09/30/2013"
"OR","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","169","","10/01/2012","09/30/2013"
"PA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","868","","10/01/2012","09/30/2013"
"PR","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","35","","10/01/2012","09/30/2013"
"RI","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","62","","10/01/2012","09/30/2013"
"SC","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","240","","10/01/2012","09/30/2013"
"SD","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","75","","10/01/2012","09/30/2013"
"TN","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","477","","10/01/2012","09/30/2013"
"TX","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","1465","","10/01/2012","09/30/2013"
"UT","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","91","","10/01/2012","09/30/2013"
"VA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","563","","10/01/2012","09/30/2013"
"VI","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"VT","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","20","","10/01/2012","09/30/2013"
"WA","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","353","","10/01/2012","09/30/2013"
"WI","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","473","","10/01/2012","09/30/2013"
"WV","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","198","","10/01/2012","09/30/2013"
"WY","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24","","10/01/2012","09/30/2013"
"AK","Cardiac defibrillator implant w/o cardiac cath w/o MCC","29","","10/01/2012","09/30/2013"
"AL","Cardiac defibrillator implant w/o cardiac cath w/o MCC","148","","10/01/2012","09/30/2013"
"AR","Cardiac defibrillator implant w/o cardiac cath w/o MCC","183","","10/01/2012","09/30/2013"
"AZ","Cardiac defibrillator implant w/o cardiac cath w/o MCC","320","","10/01/2012","09/30/2013"
"CA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","930","","10/01/2012","09/30/2013"
"CO","Cardiac defibrillator implant w/o cardiac cath w/o MCC","118","","10/01/2012","09/30/2013"
"CT","Cardiac defibrillator implant w/o cardiac cath w/o MCC","241","","10/01/2012","09/30/2013"
"DC","Cardiac defibrillator implant w/o cardiac cath w/o MCC","56","","10/01/2012","09/30/2013"
"DE","Cardiac defibrillator implant w/o cardiac cath w/o MCC","59","","10/01/2012","09/30/2013"
"FL","Cardiac defibrillator implant w/o cardiac cath w/o MCC","1265","","10/01/2012","09/30/2013"
"GA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","228","","10/01/2012","09/30/2013"
"HI","Cardiac defibrillator implant w/o cardiac cath w/o MCC","16","","10/01/2012","09/30/2013"
"IA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","151","","10/01/2012","09/30/2013"
"ID","Cardiac defibrillator implant w/o cardiac cath w/o MCC","34","","10/01/2012","09/30/2013"
"IL","Cardiac defibrillator implant w/o cardiac cath w/o MCC","922","","10/01/2012","09/30/2013"
"IN","Cardiac defibrillator implant w/o cardiac cath w/o MCC","421","","10/01/2012","09/30/2013"
"KS","Cardiac defibrillator implant w/o cardiac cath w/o MCC","196","","10/01/2012","09/30/2013"
"KY","Cardiac defibrillator implant w/o cardiac cath w/o MCC","282","","10/01/2012","09/30/2013"
"LA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","192","","10/01/2012","09/30/2013"
"MA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","337","","10/01/2012","09/30/2013"
"MD","Cardiac defibrillator implant w/o cardiac cath w/o MCC","264","","10/01/2012","09/30/2013"
"ME","Cardiac defibrillator implant w/o cardiac cath w/o MCC","52","","10/01/2012","09/30/2013"
"MI","Cardiac defibrillator implant w/o cardiac cath w/o MCC","594","","10/01/2012","09/30/2013"
"MN","Cardiac defibrillator implant w/o cardiac cath w/o MCC","343","","10/01/2012","09/30/2013"
"MO","Cardiac defibrillator implant w/o cardiac cath w/o MCC","325","","10/01/2012","09/30/2013"
"MS","Cardiac defibrillator implant w/o cardiac cath w/o MCC","131","","10/01/2012","09/30/2013"
"MT","Cardiac defibrillator implant w/o cardiac cath w/o MCC","38","","10/01/2012","09/30/2013"
"NC","Cardiac defibrillator implant w/o cardiac cath w/o MCC","499","","10/01/2012","09/30/2013"
"ND","Cardiac defibrillator implant w/o cardiac cath w/o MCC","51","","10/01/2012","09/30/2013"
"NE","Cardiac defibrillator implant w/o cardiac cath w/o MCC","110","","10/01/2012","09/30/2013"
"NH","Cardiac defibrillator implant w/o cardiac cath w/o MCC","32","","10/01/2012","09/30/2013"
"NJ","Cardiac defibrillator implant w/o cardiac cath w/o MCC","526","","10/01/2012","09/30/2013"
"NM","Cardiac defibrillator implant w/o cardiac cath w/o MCC","38","","10/01/2012","09/30/2013"
"NV","Cardiac defibrillator implant w/o cardiac cath w/o MCC","86","","10/01/2012","09/30/2013"
"NY","Cardiac defibrillator implant w/o cardiac cath w/o MCC","1557","","10/01/2012","09/30/2013"
"OH","Cardiac defibrillator implant w/o cardiac cath w/o MCC","730","","10/01/2012","09/30/2013"
"OK","Cardiac defibrillator implant w/o cardiac cath w/o MCC","200","","10/01/2012","09/30/2013"
"OR","Cardiac defibrillator implant w/o cardiac cath w/o MCC","75","","10/01/2012","09/30/2013"
"PA","Cardiac defibrillator implant w/o cardiac cath w/o MCC","804","","10/01/2012","09/30/2013"
"PR","Cardiac defibrillator implant w/o cardiac cath w/o MCC","49","","10/01/2012","09/30/2013"
"RI","Cardiac defibrillator implant w/o cardiac cath w/o MCC","16","","10/01/2012","09/30/2013"
"SC","Cardiac defibrillator implant w/o cardiac cath w/o MCC","311","","10/01/2012","09/30/2013"
