"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"VI","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","1","0","1","","07/01/2010","06/30/2013"
"VT","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","7","0","8","","07/01/2010","06/30/2013"
"WA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","41","1","41","","07/01/2010","06/30/2013"
"WI","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","48","4","69","","07/01/2010","06/30/2013"
"WV","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","24","0","26","","07/01/2010","06/30/2013"
"WY","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","2","0","22","","07/01/2010","06/30/2013"
"AK","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","10","0","12","","07/01/2010","06/30/2013"
"AL","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","88","1","12","","07/01/2010","06/30/2013"
"AR","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","3","70","0","2","","07/01/2010","06/30/2013"
"AS","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","0","0","1","","07/01/2010","06/30/2013"
"AZ","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","61","1","16","","07/01/2010","06/30/2013"
"CA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","6","272","11","48","","07/01/2010","06/30/2013"
"CO","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","54","3","17","","07/01/2010","06/30/2013"
"CT","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","31","0","1","","07/01/2010","06/30/2013"
"DC","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","7","0","0","","07/01/2010","06/30/2013"
"DE","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","7","0","0","","07/01/2010","06/30/2013"
"FL","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","9","166","7","5","","07/01/2010","06/30/2013"
"GA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","5","118","3","17","","07/01/2010","06/30/2013"
"GU","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","1","0","0","","07/01/2010","06/30/2013"
"HI","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","15","0","4","","07/01/2010","06/30/2013"
"IA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","96","0","21","","07/01/2010","06/30/2013"
"ID","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","21","1","18","","07/01/2010","06/30/2013"
"IL","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","10","164","4","6","","07/01/2010","06/30/2013"
"IN","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","2","111","4","4","","07/01/2010","06/30/2013"
"KS","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","84","2","46","","07/01/2010","06/30/2013"
"KY","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","8","84","2","2","","07/01/2010","06/30/2013"
"LA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","3","86","2","19","","07/01/2010","06/30/2013"
"MA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","3","58","1","2","","07/01/2010","06/30/2013"
"MD","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","5","42","0","1","","07/01/2010","06/30/2013"
"ME","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","33","2","1","","07/01/2010","06/30/2013"
"MI","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","9","106","6","10","","07/01/2010","06/30/2013"
"MN","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","85","3","43","","07/01/2010","06/30/2013"
"MO","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","5","99","5","9","","07/01/2010","06/30/2013"
"MP","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","1","0","0","","07/01/2010","06/30/2013"
"MS","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","3","79","0","15","","07/01/2010","06/30/2013"
"MT","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","26","2","31","","07/01/2010","06/30/2013"
"NC","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","2","95","7","7","","07/01/2010","06/30/2013"
"ND","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","23","1","19","","07/01/2010","06/30/2013"
"NE","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","47","3","34","","07/01/2010","06/30/2013"
"NH","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","23","2","1","","07/01/2010","06/30/2013"
"NJ","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","9","55","1","1","","07/01/2010","06/30/2013"
"NM","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","31","1","11","","07/01/2010","06/30/2013"
"NV","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","2","28","0","4","","07/01/2010","06/30/2013"
"NY","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","26","150","0","7","","07/01/2010","06/30/2013"
"OH","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","153","3","9","","07/01/2010","06/30/2013"
"OK","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","84","2","31","","07/01/2010","06/30/2013"
"OR","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","51","2","7","","07/01/2010","06/30/2013"
"PA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","5","149","7","5","","07/01/2010","06/30/2013"
"PR","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","27","0","21","","07/01/2010","06/30/2013"
"RI","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","10","0","1","","07/01/2010","06/30/2013"
"SC","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","54","6","3","","07/01/2010","06/30/2013"
"SD","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","25","2","28","","07/01/2010","06/30/2013"
"TN","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","5","100","2","8","","07/01/2010","06/30/2013"
"TX","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","5","296","11","63","","07/01/2010","06/30/2013"
"UT","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","24","3","15","","07/01/2010","06/30/2013"
"VA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","4","78","0","3","","07/01/2010","06/30/2013"
"VI","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","2","0","0","","07/01/2010","06/30/2013"
"VT","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","14","0","1","","07/01/2010","06/30/2013"
"WA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","65","3","20","","07/01/2010","06/30/2013"
"WI","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","112","4","9","","07/01/2010","06/30/2013"
"WV","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","4","45","0","5","","07/01/2010","06/30/2013"
"WY","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","18","0","11","","07/01/2010","06/30/2013"
"AK","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","15","0","6","","07/01/2010","06/30/2013"
"AL","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","92","0","9","","07/01/2010","06/30/2013"
"AR","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","71","1","1","","07/01/2010","06/30/2013"
"AS","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","0","0","1","","07/01/2010","06/30/2013"
"AZ","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","70","0","10","","07/01/2010","06/30/2013"
"CA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","286","6","48","","07/01/2010","06/30/2013"
"CO","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","62","2","11","","07/01/2010","06/30/2013"
"CT","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","2","30","0","0","","07/01/2010","06/30/2013"
"DC","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","8","0","0","","07/01/2010","06/30/2013"
"DE","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","7","0","0","","07/01/2010","06/30/2013"
"FL","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","7","174","3","4","","07/01/2010","06/30/2013"
"GA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","138","0","4","","07/01/2010","06/30/2013"
"GU","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","1","0","0","","07/01/2010","06/30/2013"
"HI","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","15","0","5","","07/01/2010","06/30/2013"
"IA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","114","0","4","","07/01/2010","06/30/2013"
"ID","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","34","0","5","","07/01/2010","06/30/2013"
"IL","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","11","170","0","2","","07/01/2010","06/30/2013"
"IN","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","2","113","3","4","","07/01/2010","06/30/2013"
"KS","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","119","0","13","","07/01/2010","06/30/2013"
"KY","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","12","83","1","0","","07/01/2010","06/30/2013"
"LA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","2","90","4","16","","07/01/2010","06/30/2013"
"MA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","62","0","2","","07/01/2010","06/30/2013"
"MD","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","7","40","0","1","","07/01/2010","06/30/2013"
"ME","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","36","0","1","","07/01/2010","06/30/2013"
"MI","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","123","1","3","","07/01/2010","06/30/2013"
"MN","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","112","0","19","","07/01/2010","06/30/2013"
"MO","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","111","0","5","","07/01/2010","06/30/2013"
"MP","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","1","0","0","","07/01/2010","06/30/2013"
"MS","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","2","87","0","8","","07/01/2010","06/30/2013"
"MT","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","41","0","21","","07/01/2010","06/30/2013"
"NC","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","105","1","2","","07/01/2010","06/30/2013"
"ND","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","40","0","4","","07/01/2010","06/30/2013"
"NE","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","74","0","11","","07/01/2010","06/30/2013"
"NH","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","25","1","0","","07/01/2010","06/30/2013"
"NJ","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","5","60","0","1","","07/01/2010","06/30/2013"
"NM","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","38","1","4","","07/01/2010","06/30/2013"
"NV","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","30","0","6","","07/01/2010","06/30/2013"
"NY","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","24","155","1","4","","07/01/2010","06/30/2013"
"OH","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","10","149","1","7","","07/01/2010","06/30/2013"
"OK","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","110","0","7","","07/01/2010","06/30/2013"
"OR","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","57","1","2","","07/01/2010","06/30/2013"
"PA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","158","2","4","","07/01/2010","06/30/2013"
"PR","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","27","0","22","","07/01/2010","06/30/2013"
"RI","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","11","0","1","","07/01/2010","06/30/2013"
"SC","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","62","1","0","","07/01/2010","06/30/2013"
"SD","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","51","1","5","","07/01/2010","06/30/2013"
"TN","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","7","105","0","4","","07/01/2010","06/30/2013"
"TX","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","2","327","2","52","","07/01/2010","06/30/2013"
"UT","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","37","0","5","","07/01/2010","06/30/2013"
"VA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","7","73","1","7","","07/01/2010","06/30/2013"
"VI","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","2","0","0","","07/01/2010","06/30/2013"
"VT","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","15","0","0","","07/01/2010","06/30/2013"
"WA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","82","0","8","","07/01/2010","06/30/2013"
"WI","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","121","0","4","","07/01/2010","06/30/2013"
"WV","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","7","47","0","0","","07/01/2010","06/30/2013"
"WY","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","24","0","5","","07/01/2010","06/30/2013"
"AK","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","5","0","2","","07/01/2011","06/30/2013"
"AL","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","31","0","30","","07/01/2011","06/30/2013"
"AR","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","19","0","17","","07/01/2011","06/30/2013"
"AS","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"AZ","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","38","3","16","","07/01/2011","06/30/2013"
"CA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","157","3","119","","07/01/2011","06/30/2013"
"CO","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","29","0","13","","07/01/2011","06/30/2013"
"CT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","21","1","7","","07/01/2011","06/30/2013"
"DC","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","5","0","1","","07/01/2011","06/30/2013"
"DE","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","4","0","1","","07/01/2011","06/30/2013"
"FL","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","117","8","33","","07/01/2011","06/30/2013"
"GA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","49","2","39","","07/01/2011","06/30/2013"
"GU","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"HI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","4","0","9","","07/01/2011","06/30/2013"
"IA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","21","2","11","","07/01/2011","06/30/2013"
"ID","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","8","0","3","","07/01/2011","06/30/2013"
"IL","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","83","9","29","","07/01/2011","06/30/2013"
"IN","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","54","0","28","","07/01/2011","06/30/2013"
"KS","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","22","1","22","","07/01/2011","06/30/2013"
"KY","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","31","0","27","","07/01/2011","06/30/2013"
"LA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","35","0","29","","07/01/2011","06/30/2013"
"MA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","41","2","14","","07/01/2011","06/30/2013"
"MD","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"ME","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","9","0","11","","07/01/2011","06/30/2013"
"MI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","50","4","32","","07/01/2011","06/30/2013"
"MN","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","19","2","26","","07/01/2011","06/30/2013"
"MO","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","42","2","21","","07/01/2011","06/30/2013"
"MP","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"MS","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","4","18","0","18","","07/01/2011","06/30/2013"
"MT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","9","0","2","","07/01/2011","06/30/2013"
"NC","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","4","54","1","27","","07/01/2011","06/30/2013"
"ND","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","5","1","0","","07/01/2011","06/30/2013"
"NE","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","16","0","5","","07/01/2011","06/30/2013"
"NH","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","10","0","3","","07/01/2011","06/30/2013"
"NJ","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","53","2","6","","07/01/2011","06/30/2013"
"NM","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","7","0","16","","07/01/2011","06/30/2013"
"NV","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","13","0","6","","07/01/2011","06/30/2013"
"NY","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","10","75","2","61","","07/01/2011","06/30/2013"
"OH","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","81","1","39","","07/01/2011","06/30/2013"
"OK","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","29","0","27","","07/01/2011","06/30/2013"
"OR","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","17","1","14","","07/01/2011","06/30/2013"
"PA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","78","0","59","","07/01/2011","06/30/2013"
"PR","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"RI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","6","0","5","","07/01/2011","06/30/2013"
"SC","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","28","0","20","","07/01/2011","06/30/2013"
"SD","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","6","1","10","","07/01/2011","06/30/2013"
"TN","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","4","40","0","33","","07/01/2011","06/30/2013"
"TX","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","6","141","2","83","","07/01/2011","06/30/2013"
"UT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","14","0","12","","07/01/2011","06/30/2013"
"VA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","45","1","23","","07/01/2011","06/30/2013"
"VI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"VT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","4","0","1","","07/01/2011","06/30/2013"
"WA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","40","0","5","","07/01/2011","06/30/2013"
"WI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","34","1","28","","07/01/2011","06/30/2013"
"WV","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","18","0","9","","07/01/2011","06/30/2013"
"WY","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","2","0","7","","07/01/2011","06/30/2013"
"AK","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","9","0","0","","07/01/2011","06/30/2013"
"AL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","92","0","1","","07/01/2011","06/30/2013"
"AR","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","46","0","0","","07/01/2011","06/30/2013"
"AS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"AZ","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","65","0","0","","07/01/2011","06/30/2013"
"CA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","4","304","0","0","","07/01/2011","06/30/2013"
"CO","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","3","42","0","1","","07/01/2011","06/30/2013"
"CT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","31","0","1","","07/01/2011","06/30/2013"
"DC","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","6","0","0","","07/01/2011","06/30/2013"
"DE","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","6","0","0","","07/01/2011","06/30/2013"
"FL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","167","0","0","","07/01/2011","06/30/2013"
"GA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","106","0","1","","07/01/2011","06/30/2013"
"GU","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"HI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","14","0","0","","07/01/2011","06/30/2013"
"IA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","34","0","0","","07/01/2011","06/30/2013"
"ID","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","13","0","1","","07/01/2011","06/30/2013"
"IL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","126","0","1","","07/01/2011","06/30/2013"
"IN","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","90","0","0","","07/01/2011","06/30/2013"
"KS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","54","0","1","","07/01/2011","06/30/2013"
"KY","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","65","0","0","","07/01/2011","06/30/2013"
"LA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","95","1","4","","07/01/2011","06/30/2013"
"MA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","3","58","0","0","","07/01/2011","06/30/2013"
"MD","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"ME","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","19","0","0","","07/01/2011","06/30/2013"
"MI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","93","1","0","","07/01/2011","06/30/2013"
"MN","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","52","0","0","","07/01/2011","06/30/2013"
"MO","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","78","0","0","","07/01/2011","06/30/2013"
"MP","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"MS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","62","0","3","","07/01/2011","06/30/2013"
"MT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","13","0","0","","07/01/2011","06/30/2013"
"NC","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","88","0","0","","07/01/2011","06/30/2013"
"ND","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","7","0","0","","07/01/2011","06/30/2013"
"NE","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","24","0","0","","07/01/2011","06/30/2013"
"NH","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","12","0","0","","07/01/2011","06/30/2013"
"NJ","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","62","1","0","","07/01/2011","06/30/2013"
"NM","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","33","0","1","","07/01/2011","06/30/2013"
"NV","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","24","0","0","","07/01/2011","06/30/2013"
"NY","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","163","1","1","","07/01/2011","06/30/2013"
"OH","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","136","0","2","","07/01/2011","06/30/2013"
"OK","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","89","0","2","","07/01/2011","06/30/2013"
"OR","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","32","0","0","","07/01/2011","06/30/2013"
"PA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","155","0","1","","07/01/2011","06/30/2013"
"PR","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"RI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","11","0","0","","07/01/2011","06/30/2013"
"SC","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","57","0","0","","07/01/2011","06/30/2013"
"SD","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","22","0","0","","07/01/2011","06/30/2013"
"TN","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","96","0","1","","07/01/2011","06/30/2013"
"TX","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","320","0","3","","07/01/2011","06/30/2013"
"UT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","31","0","1","","07/01/2011","06/30/2013"
"VA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","77","0","1","","07/01/2011","06/30/2013"
"VI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","","07/01/2011","06/30/2013"
"VT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","6","0","0","","07/01/2011","06/30/2013"
"WA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","48","0","0","","07/01/2011","06/30/2013"
