Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points,MSPB-1 Measure Score
"490097","SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER","727 NORTH MAIN STREET","Emporia","VA","23847","EMPORIA CITY","1.020256","0 out of 10","0 out of 9","0 out of 10"
"040050","OUACHITA COUNTY MEDICAL CENTER","638 CALIFORNIA AVENUE","Camden","AR","71711-0797","OUACHITA","0.935395","3 out of 10","5 out of 9","5 out of 10"
"450395","MEMORIAL MEDICAL CENTER LIVINGSTON","1717 HWY 59 BYPASS","Livingston","TX","77351","POLK","1.117282","0 out of 10","0 out of 9","0 out of 10"
"440073","MAURY REGIONAL HOSPITAL","1224 TROTWOOD AVE","Columbia","TN","38401","MAURY","0.976031","1 out of 10","2 out of 9","2 out of 10"
"220015","COOLEY DICKINSON HOSPITAL INC,THE","30 LOCUST STREET","Northampton","MA","01061","HAMPSHIRE","1.028122","0 out of 10","0 out of 9","0 out of 10"
"320038","REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES","1901 RED ROCK DRIVE","Gallup","NM","87301","MCKINLEY","0.837603","9 out of 10","0 out of 9","9 out of 10"
"190050","BEAUREGARD MEMORIAL HOSPITAL","600 S PINE STREET","Deridder","LA","70634","BEAUREGARD","0.947993","3 out of 10","4 out of 9","4 out of 10"
"050047","CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","2333 BUCHANAN STREET","San Francisco","CA","94115","SAN FRANCISCO","0.900595","5 out of 10","1 out of 9","5 out of 10"
"330027","NASSAU UNIVERSITY MEDICAL CENTER","2201 HEMPSTEAD TURNPIKE","East Meadow","NY","11554","NASSAU","0.982745","1 out of 10","0 out of 9","1 out of 10"
"360081","MERCY ST CHARLES HOSPITAL","2600 NAVARRE AVENUE","Oregon","OH","43616","LUCAS","1.024784","0 out of 10","0 out of 9","0 out of 10"
"050222","SHARP CHULA VISTA MEDICAL CENTER","751 MEDICAL CENTER COURT","Chula Vista","CA","91911","SAN DIEGO","0.963345","2 out of 10","1 out of 9","2 out of 10"
"420087","ROPER HOSPITAL","316 CALHOUN ST","Charleston","SC","29401","CHARLESTON","1.007727","0 out of 10","0 out of 9","0 out of 10"
"290005","NORTH VISTA HOSPITAL","1409 EAST LAKE MEAD BLVD","North Las Vegas","NV","89030","CLARK","1.144385","0 out of 10","2 out of 9","2 out of 10"
"440197","TRISTAR SOUTHERN HILLS MEDICAL CENTER","391 WALLACE RD","Nashville","TN","37211","DAVIDSON","1.067029","0 out of 10","0 out of 9","0 out of 10"
"100043","MEASE DUNEDIN HOSPITAL","601 MAIN ST","Dunedin","FL","34698","PINELLAS","1.080344","0 out of 10","0 out of 9","0 out of 10"
"040001","SILOAM SPRINGS REGIONAL HOSPITAL","603 NORTH PROGRESS AVENUE","Siloam Springs","AR","72761","BENTON","0.972215","1 out of 10","0 out of 9","1 out of 10"
"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","Sun City","AZ","85351","MARICOPA","0.942985","3 out of 10","1 out of 9","3 out of 10"
"360132","FORT HAMILTON HUGHES MEMORIAL HOSPITAL","630 EATON AVENUE","Hamilton","OH","45013","BUTLER","0.997957","0 out of 10","0 out of 9","0 out of 10"
"100038","MEMORIAL REGIONAL HOSPITAL","3501 JOHNSON ST","Hollywood","FL","33021","BROWARD","1.064680","0 out of 10","0 out of 9","0 out of 10"
"440061","VOLUNTEER COMMUNITY HOSPITAL","161 MOUNT PELIA RD","Martin","TN","38237","WEAKLEY","1.060999","0 out of 10","0 out of 9","0 out of 10"
"100006","ORLANDO REGIONAL MEDICAL CENTER","1414 KUHL AVE","Orlando","FL","32806","ORANGE","1.017761","0 out of 10","0 out of 9","0 out of 10"
"330144","IRA DAVENPORT MEMORIAL HOSPITAL, INC","7571 STATE ROUTE 54","Bath","NY","14810","STEUBEN","0.711347","10 out of 10","9 out of 9","10 out of 10"
"450597","CUERO COMMUNITY HOSPITAL","2550 N ESPLANADE","Cuero","TX","77954","DE WITT","1.144769","0 out of 10","0 out of 9","0 out of 10"
"450221","MOORE COUNTY HOSPITAL DISTRICT","224 E SECOND STREET","Dumas","TX","79029","MOORE","0.788065","10 out of 10","0 out of 9","10 out of 10"
"360037","ST VINCENT CHARITY MEDICAL CENTER","2351 EAST 22ND STREET","Cleveland","OH","44115","CUYAHOGA","0.939045","3 out of 10","3 out of 9","3 out of 10"
"340096","LEXINGTON MEMORIAL HOSPITAL INC","250 HOSPITAL DRIVE PO BOX 1817","Lexington","NC","27292","DAVIDSON","0.841855","9 out of 10","8 out of 9","9 out of 10"
"460044","ALTA VIEW HOSPITAL","9660 SOUTH 1300 EAST","Sandy","UT","84094","SALT LAKE","0.953727","2 out of 10","1 out of 9","2 out of 10"
"330136","MARY IMOGENE BASSETT HOSPITAL","ONE ATWELL ROAD","Cooperstown","NY","13326","OTSEGO","0.940706","3 out of 10","0 out of 9","3 out of 10"
"360189","MADISON COUNTY HOSPITAL INC","210 NORTH MAIN STREET","London","OH","43140","MADISON","0.942546","3 out of 10","3 out of 9","3 out of 10"
"430096","LEWIS AND CLARK SPECIALTY HOSPITAL","2601 FOX RUN PARKWAY","Yankton","SD","57078","YANKTON","0.926997","4 out of 10","4 out of 9","4 out of 10"
"390157","OHIO VALLEY GENERAL HOSPITAL","25 HECKEL ROAD","Mckees Rocks","PA","15136","ALLEGHENY","1.223399","0 out of 10","1 out of 9","1 out of 10"
"090011","MEDSTAR WASHINGTON HOSPITAL CENTER","110 IRVING ST NW","Washington","DC","20010","DISTRICT OF COLUMBIA","0.977683","1 out of 10","0 out of 9","1 out of 10"
"670012","HOUSTON ORTHOPEDIC AND SPINE HOSPITAL","5410 WEST LOOP SOUTH","Bellaire","TX","77401","HARRIS","0.974141","1 out of 10","0 out of 9","1 out of 10"
"310083","EAST ORANGE GENERAL HOSPITAL","300 CENTRAL AVE","East Orange","NJ","07018","ESSEX","1.150292","0 out of 10","0 out of 9","0 out of 10"
"440175","SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE","HWY 43 S BOX 847","Lawrenceburg","TN","38464","LAWRENCE","1.007742","0 out of 10","0 out of 9","0 out of 10"
"410007","RHODE ISLAND HOSPITAL","593 EDDY STREET","Providence","RI","02902","PROVIDENCE","0.999819","0 out of 10","0 out of 9","0 out of 10"
"420069","CLARENDON MEMORIAL HOSPITAL","10 HOSPITAL ST BOX 550","Manning","SC","29102","CLARENDON","0.977931","1 out of 10","0 out of 9","1 out of 10"
"050079","DOCTORS MEDICAL CENTER - SAN PABLO","2000 VALE RD","San Pablo","CA","94806","CONTRA COSTA","0.973113","1 out of 10","0 out of 9","1 out of 10"
"390084","SUNBURY COMMUNITY HOSPITAL","350 NORTH 11TH STREET","Sunbury","PA","17801","NORTHUMBERLAND","0.993759","0 out of 10","3 out of 9","3 out of 10"
"050238","METHODIST HOSPITAL OF SOUTHERN CA","300 W HUNTINGTON DR","Arcadia","CA","91006","LOS ANGELES","1.020724","0 out of 10","0 out of 9","0 out of 10"
"360163","CHRIST HOSPITAL","2139 AUBURN AVENUE","Cincinnati","OH","45219","HAMILTON","1.012817","0 out of 10","0 out of 9","0 out of 10"
"450085","GRAHAM REGIONAL MEDICAL CENTER","1301 MONTGOMERY ROAD","Graham","TX","76450","YOUNG","0.907973","5 out of 10","2 out of 9","5 out of 10"
"450827","KELL WEST REGIONAL HOSPITAL","5402 KELL WEST BOULEVARD","Wichita Falls","TX","76310","WICHITA","1.062899","0 out of 10","1 out of 9","1 out of 10"
"340113","CAROLINAS MEDICAL CENTER/BEHAV HEALTH","1000 BLYTHE BLVD","Charlotte","NC","28203","MECKLENBURG","0.997365","0 out of 10","0 out of 9","0 out of 10"
"450672","PLAZA MEDICAL CENTER OF FORT WORTH","900 EIGHTH AVENUE","Fort Worth","TX","76104","TARRANT","1.092246","0 out of 10","0 out of 9","0 out of 10"
"110230","EMORY JOHNS CREEK HOSPITAL","6325 HOSPITAL PARKWAY","Johns Creek","GA","30097","CHATTOOGA","0.907743","5 out of 10","4 out of 9","5 out of 10"
"390197","SACRED HEART HOSPITAL","421 CHEW STREET","Allentown","PA","18102","LEHIGH","1.033216","0 out of 10","0 out of 9","0 out of 10"
"330259","MERCY MEDICAL CENTER","1000 NORTH VILLAGE AVENUE","Rockville Centre","NY","11571","NASSAU","1.055099","0 out of 10","1 out of 9","1 out of 10"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","Scottsboro","AL","35768","JACKSON","0.868276","7 out of 10","0 out of 9","7 out of 10"
"450044","UT SOUTHWESTERN UNIVERSITY HOSPITAL ST PAUL","6201 HARRY HINES BLVD","Dallas","TX","75390","DALLAS","1.008779","0 out of 10","0 out of 9","0 out of 10"
"140202","ADVOCATE CONDELL MEDICAL CENTER","801 S MILWAUKEE AVE","Libertyville","IL","60048","LAKE","1.051184","0 out of 10","0 out of 9","0 out of 10"
"150128","COMMUNITY HOSPITAL SOUTH","1402 E COUNTY LINE RD S","Indianapolis","IN","46227","MARION","1.017206","0 out of 10","0 out of 9","0 out of 10"
"450056","SETON MEDICAL CENTER AUSTIN","1201 W 38TH ST","Austin","TX","78705","TRAVIS","1.048971","0 out of 10","0 out of 9","0 out of 10"
"190004","THIBODAUX REGIONAL MEDICAL CENTER","602 N ACADIA ROAD","Thibodaux","LA","70302","LAFOURCHE","0.990080","0 out of 10","2 out of 9","2 out of 10"
"240001","NORTH MEMORIAL MEDICAL CENTER","3300 OAKDALE NORTH","Robbinsdale","MN","55422","HENNEPIN","0.941942","3 out of 10","0 out of 9","3 out of 10"
"110205","NORTH GEORGIA MEDICAL CENTER","1362 SOUTH MAIN STREET","Ellijay","GA","30540","GILMER","0.956767","2 out of 10","3 out of 9","3 out of 10"
"340142","CARTERET GENERAL HOSPITAL","3500 ARENDELL ST","Morehead City","NC","28557","CARTERET","0.890309","6 out of 10","2 out of 9","6 out of 10"
"100224","UNIVERSITY HOSPITAL AND MEDICAL CENTER","7201 N UNIVERSITY DR","Tamarac","FL","33321","BROWARD","1.087665","0 out of 10","1 out of 9","1 out of 10"
"170094","COFFEY COUNTY HOSPITAL","801 NORTH 4TH STREET","Burlington","KS","66839","COFFEY","0.791802","10 out of 10","9 out of 9","10 out of 10"
"450037","GOOD SHEPHERD MEDICAL CENTER","700 EAST MARSHALL AVENUE","Longview","TX","75601","GREGG","1.017606","0 out of 10","0 out of 9","0 out of 10"
"150037","HANCOCK REGIONAL HOSPITAL","801 N STATE ST","Greenfield","IN","46140","HANCOCK","1.046577","0 out of 10","0 out of 9","0 out of 10"
"260116","MINERAL AREA REGIONAL MEDICAL CENTER","1212 WEBER RD","Farmington","MO","63640-3325","ST. FRANCOIS","0.974828","1 out of 10","1 out of 9","1 out of 10"
"220163","UMASS MEMORIAL MEDICAL CENTER INC","55 LAKE AVENUE NORTH","Worcester","MA","01655-0002","WORCESTER","1.071677","0 out of 10","0 out of 9","0 out of 10"
"180044","PIKEVILLE MEDICAL CENTER","911 BYPASS ROAD","Pikeville","KY","41501","PIKE","0.947594","3 out of 10","0 out of 9","3 out of 10"
"130003","ST JOSEPH REGIONAL MEDICAL CENTER","415 SIXTH STREET","Lewiston","ID","83501","NEZ PERCE","0.984469","1 out of 10","0 out of 9","1 out of 10"
"100150","LOWER KEYS MEDICAL CENTER","5900 COLLEGE ROAD","Key West","FL","33040","MONROE","0.961202","2 out of 10","0 out of 9","2 out of 10"
"430005","PRAIRIE LAKES HOSPITAL","401 9TH AVENUE NW  POST OFFICE BOX 1210","Watertown","SD","572016210","CODINGTON","0.886397","6 out of 10","3 out of 9","6 out of 10"
"430016","AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER","1325 S CLIFF AVE  POST OFFICE BOX 5045","Sioux Falls","SD","571175045","MINNEHAHA","0.972881","1 out of 10","0 out of 9","1 out of 10"
"220035","NORTH SHORE MEDICAL CENTER","81 HIGHLAND AVENUE","Salem","MA","01970","ESSEX","1.029686","0 out of 10","0 out of 9","0 out of 10"
"190013","WEST CALCASIEU CAMERON HOSPITAL","701 EAST CYPRESS STREET","Sulphur","LA","70663","CALCASIEU","1.036058","0 out of 10","0 out of 9","0 out of 10"
"050121","ADVENTIST MEDICAL CENTER","115 MALL DRIVE","Hanford","CA","93230","KINGS","0.938041","3 out of 10","0 out of 9","3 out of 10"
"060117","ANIMAS SURGICAL HOSPITAL, LLC","575 RIVERGATE LANE","Durango","CO","81301","LA PLATA","0.930440","4 out of 10","4 out of 9","4 out of 10"
"500037","TOPPENISH COMMUNITY HOSPITAL","502 W FOURTH AVE","Toppenish","WA","98948","YAKIMA","0.755089","10 out of 10","9 out of 9","10 out of 10"
"050257","GOOD SAMARITAN HOSPITAL","901 OLIVE DRIVE","Bakersfield","CA","93308","KERN","0.923499","4 out of 10","0 out of 9","4 out of 10"
"310025","CAREPOINT HEALTH - BAYONNE MEDICAL CENTER","29 EAST 29TH ST","Bayonne","NJ","07002","HUDSON","1.140182","0 out of 10","0 out of 9","0 out of 10"
"240080","UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","2450 RIVERSIDE AVENUE","Minneapolis","MN","55454","HENNEPIN","0.979047","1 out of 10","0 out of 9","1 out of 10"
"460021","DIXIE REGIONAL MEDICAL CENTER","1380 EAST MEDICAL CENTER DRIVE","St George","UT","84790","WASHINGTON","0.939414","3 out of 10","0 out of 9","3 out of 10"
"420018","PALMETTO HEALTH RICHLAND","5 RICHLAND MEDICAL PARK","Columbia","SC","29203","RICHLAND","1.012656","0 out of 10","0 out of 9","0 out of 10"
"370172","CHOCTAW NATION HEALTHCARE","1 CHOCTAW WAY","Talihina","OK","74571","LATIMER","0.736721","10 out of 10","9 out of 9","10 out of 10"
"280129","NEBRASKA ORTHOPAEDIC HOSPITAL","2808 SOUTH 143RD PLZ","Omaha","NE","68144","DOUGLAS","0.956221","2 out of 10","1 out of 9","2 out of 10"
"230069","SAINT JOSEPH MERCY LIVINGSTON HOSPITAL","620 BYRON RD","Howell","MI","48843","LIVINGSTON","0.903838","5 out of 10","4 out of 9","5 out of 10"
"070021","WINDHAM COMM MEM HOSP & HATCH HOSP","112 MANSFIELD AVE","Willimantic","CT","06226","WINDHAM","0.967835","1 out of 10","2 out of 9","2 out of 10"
"050272","REDLANDS COMMUNITY HOSPITAL","350 TERRACINA BLVD","Redlands","CA","92373","SAN BERNARDINO","0.907282","5 out of 10","2 out of 9","5 out of 10"
"670075","ST LUKE'S HOSPITAL AT THE VINTAGE","20171 CHASEWOOD PARK DRIVE","Houston","TX","77070","HARRIS","1.188781","0 out of 10","0 out of 9","0 out of 10"
"390037","HERITAGE VALLEY SEWICKLEY","720 BLACKBURN ROAD","Sewickley","PA","15143","ALLEGHENY","1.122616","0 out of 10","0 out of 9","0 out of 10"
"100030","HEALTH CENTRAL","10000 W COLONIAL DR","Ocoee","FL","34761","ORANGE","1.051831","0 out of 10","0 out of 9","0 out of 10"
"150015","FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","301 W HOMER ST","Michigan City","IN","46360","LA PORTE","1.011684","0 out of 10","0 out of 9","0 out of 10"
"070039","MASONIC HOME AND HOSPITAL","22 MASONIC AVE","Wallingford","CT","06492","NEW HAVEN","0.892433","6 out of 10","4 out of 9","6 out of 10"
"150115","MEMORIAL HOSPITAL AND HEALTH CARE CENTER","800 W 9TH ST","Jasper","IN","47546","DUBOIS","0.944542","3 out of 10","1 out of 9","3 out of 10"
"440183","ST FRANCIS HOSPITAL","5959 PARK AVE","Memphis","TN","38119","SHELBY","1.046548","0 out of 10","0 out of 9","0 out of 10"
"190081","WEST CARROLL MEMORIAL HOSPITAL","706 ROSS STREET","Oak Grove","LA","71263","WEST CARROLL","0.999901","0 out of 10","0 out of 9","0 out of 10"
"250044","BAPTIST MEMORIAL HOSPITAL BOONEVILLE","100 HOSPITAL DRIVE","Booneville","MS","38829","PRENTISS","0.999608","0 out of 10","2 out of 9","2 out of 10"
"190106","OAKDALE COMMUNITY HOSPITAL","130 N HOSPITAL DR","Oakdale","LA","71463","ALLEN","0.992521","0 out of 10","0 out of 9","0 out of 10"
"360192","UH GEAUGA MEDICAL CENTER","13207 RAVENNA RD","Chardon","OH","44024","GEAUGA","1.001567","0 out of 10","0 out of 9","0 out of 10"
"220098","NASHOBA VALLEY MEDICAL CENTER","200 GROTON ROAD","Ayer","MA","01432","MIDDLESEX","1.061410","0 out of 10","1 out of 9","1 out of 10"
"360121","COMMUNITY HOSPITALS AND WELLNESS CENTERS","433 WEST HIGH STREET","Bryan","OH","43506","WILLIAMS","1.069478","0 out of 10","1 out of 9","1 out of 10"
"360210","GRADY MEMORIAL HOSPITAL","561 WEST CENTRAL AVENUE","Delaware","OH","43015","DELAWARE","0.929740","4 out of 10","1 out of 9","4 out of 10"
"250085","MARION GENERAL HOSPITAL","1560 SUMRALL RD","Columbia","MS","39429","MARION","0.909692","5 out of 10","4 out of 9","5 out of 10"
"390058","CARLISLE REGIONAL MEDICAL CENTER","361 ALEXANDER SPRING ROAD","Carlisle","PA","170159129","CUMBERLAND","1.032277","0 out of 10","0 out of 9","0 out of 10"
"280133","NEBRASKA SPINE HOSPITAL, LLC","6901 NORTH 72ND STREET, SUITE 20300","Omaha","NE","68122","DOUGLAS","0.955333","2 out of 10","4 out of 9","4 out of 10"
"370206","OKLAHOMA SPINE HOSPITAL","14101 PARKWAY COMMONS DRIVE","Oklahoma City","OK","73134","OKLAHOMA","0.934590","3 out of 10","0 out of 9","3 out of 10"
"440152","REGIONAL ONE HEALTH","877 JEFFERSON AVENUE","Memphis","TN","38103","SHELBY","1.030179","0 out of 10","1 out of 9","1 out of 10"
"180128","THREE RIVERS MEDICAL CENTER","2485 HIGHWAY 644","Louisa","KY","41230","LAWRENCE","0.916827","4 out of 10","0 out of 9","4 out of 10"
"360276","ST ELIZABETH BOARDMAN HEALTH CENTER","8401 MARKET STREET","Youngstown","OH","44512","MAHONING","1.030197","0 out of 10","0 out of 9","0 out of 10"
"360051","MIAMI VALLEY HOSPITAL","ONE WYOMING STREET","Dayton","OH","45409","MONTGOMERY","1.024062","0 out of 10","0 out of 9","0 out of 10"
"180020","MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT","3600 WEST CUMBERLAND AVENUE","Middlesboro","KY","40965","BELL","0.964622","2 out of 10","0 out of 9","2 out of 10"
"110071","APPLING HOSPITAL","163 E TOLLISON STREET","Baxley","GA","31513","APPLING","0.865202","7 out of 10","1 out of 9","7 out of 10"
"060054","COMMUNITY HOSPITAL","2021 N 12TH ST","Grand Junction","CO","81501","MESA","0.938294","3 out of 10","0 out of 9","3 out of 10"
"100034","MOUNT SINAI MEDICAL CENTER","4300 ALTON RD","Miami Beach","FL","33140","DADE","1.098485","0 out of 10","0 out of 9","0 out of 10"
"050230","GARDEN GROVE HOSPITAL & MEDICAL CENTER","12601 GARDEN GROVE BLVD","Garden Grove","CA","92843","ORANGE","1.114625","0 out of 10","0 out of 9","0 out of 10"
"360090","ST LUKE'S HOSPITAL","5901 MONCLOVA ROAD","Maumee","OH","43537","LUCAS","0.974012","1 out of 10","1 out of 9","1 out of 10"
"500015","MULTICARE AUBURN MEDICAL CENTER","202 NORTH DIVISION STREET PLAZA ONE","Auburn","WA","98001-4908","KING","0.973748","1 out of 10","1 out of 9","1 out of 10"
"100220","GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM","13681 DOCTOR'S WAY","Fort Myers","FL","33912","LEE","1.053418","0 out of 10","0 out of 9","0 out of 10"
"110075","EAST GEORGIA REGIONAL MEDICAL CENTER","1499 FAIR ROAD","Statesboro","GA","30458","BULLOCH","0.989604","0 out of 10","0 out of 9","0 out of 10"
"050235","PROVIDENCE SAINT JOSEPH MEDICAL CTR","501 SOUTH BUENA VISTA","Burbank","CA","91505","LOS ANGELES","1.037863","0 out of 10","0 out of 9","0 out of 10"
"050126","VALLEY PRESBYTERIAN HOSPITAL","15107 VANOWEN ST","Van Nuys","CA","91405","LOS ANGELES","1.084795","0 out of 10","1 out of 9","1 out of 10"
"260176","DES PERES HOSPITAL","2345 DOUGHERTY FERRY ROAD","St Louis","MO","63131","ST. LOUIS","0.969311","1 out of 10","1 out of 9","1 out of 10"
"150082","DEACONESS HOSPITAL INC","600 MARY ST","Evansville","IN","47747","VANDERBURGH","1.035425","0 out of 10","0 out of 9","0 out of 10"
"420019","CHESTER REGIONAL MEDICAL CENTER","1 MEDICAL PARK DRIVE","Chester","SC","29706","CHESTER","0.921958","4 out of 10","0 out of 9","4 out of 10"
"170027","PRATT REGIONAL MEDICAL CENTER","200 COMMODORE ST","Pratt","KS","67124","PRATT","0.965748","2 out of 10","0 out of 9","2 out of 10"
"030110","WEST VALLEY HOSPITAL","13677 WEST MCDOWELL ROAD","Goodyear","AZ","85395","MARICOPA","0.959930","2 out of 10","0 out of 9","2 out of 10"
"100137","HEART OF FLORIDA REGIONAL MEDICAL CENTER","40100 US HWY 27 N","Davenport","FL","33837","POLK","1.030819","0 out of 10","1 out of 9","1 out of 10"
"050104","SAINT FRANCIS MEDICAL CENTER","3630 EAST IMPERIAL HIGHWAY","Lynwood","CA","90262","LOS ANGELES","1.089814","0 out of 10","0 out of 9","0 out of 10"
"420105","MCLEOD LORIS SEACOAST HOSPITAL","3655 MITCHELL STREET","Loris","SC","29569","HORRY","0.948822","3 out of 10","Not Available","3 out of 10"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","Hamilton","AL","35570","MARION","0.829945","9 out of 10","9 out of 9","9 out of 10"
"390195","MAIN LINE HOSPITAL LANKENAU","100 LANCASTER AVE","Wynnewood","PA","19096","MONTGOMERY","1.006015","0 out of 10","0 out of 9","0 out of 10"
"420103","VILLAGE HOSPITAL","250 WESTMORELAND ROAD","Greer","SC","29651","GREENVILLE","0.992558","0 out of 10","0 out of 9","0 out of 10"
"520100","BELOIT MEMORIAL HOSPITAL","1969 W HART RD","Beloit","WI","53511","ROCK","0.962665","2 out of 10","1 out of 9","2 out of 10"
"060009","EXEMPLA LUTHERAN MEDICAL CENTER","8300 W 38TH AVE","Wheat Ridge","CO","80033","JEFFERSON","0.979890","1 out of 10","1 out of 9","1 out of 10"
"260001","MERCY HOSPITAL JOPLIN","2817 ST JOHNS BLVD","Joplin","MO","64804-1626","JASPER","1.027403","0 out of 10","0 out of 9","0 out of 10"
"060064","CENTURA HEALTH-PORTER ADVENTIST HOSPITAL","2525 S DOWNING ST","Denver","CO","80210","DENVER","0.987054","0 out of 10","0 out of 9","0 out of 10"
"370022","JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY","1200 EAST PECAN ST","Altus","OK","73523","JACKSON","0.851619","8 out of 10","7 out of 9","8 out of 10"
"450591","ANGLETON-DANBURY MEDICAL CENTER","132 HOSPITAL DR","Angleton","TX","77515","BRAZORIA","0.989288","0 out of 10","0 out of 9","0 out of 10"
"500003","SKAGIT VALLEY HOSPITAL","1415 KINCAID STREET","Mount Vernon","WA","98274","SKAGIT","0.917851","4 out of 10","4 out of 9","4 out of 10"
"390219","EXCELA HEALTH LATROBE HOSPITAL","ONE MELLON WAY","Latrobe","PA","15650","WESTMORELAND","1.071942","0 out of 10","0 out of 9","0 out of 10"
"450177","UVALDE MEMORIAL HOSPITAL","1025 GARNER FIELD ROAD","Uvalde","TX","78801","UVALDE","0.999432","0 out of 10","0 out of 9","0 out of 10"
"450235","MEMORIAL HOSPITAL","1110 NORTH SARAH DEWITT DRIVE","Gonzales","TX","78629","GONZALES","1.077156","0 out of 10","0 out of 9","0 out of 10"
"330219","ERIE COUNTY MEDICAL CENTER","462 GRIDER STREET","Buffalo","NY","14215","ERIE","0.947850","3 out of 10","0 out of 9","3 out of 10"
"340184","MEDWEST HAYWOOD","262 LEROY GEORGE DRIVE","Clyde","NC","28721","HAYWOOD","0.913056","5 out of 10","2 out of 9","5 out of 10"
"110201","COLISEUM NORTHSIDE HOSPITAL","400 CHARTER BOULEVARD","Macon","GA","31210","BIBB","0.989470","0 out of 10","0 out of 9","0 out of 10"
"330119","LENOX HILL HOSPITAL","100 EAST 77TH STREET","New York","NY","10021","NEW YORK","0.960386","2 out of 10","0 out of 9","2 out of 10"
"360175","CLINTON MEMORIAL HOSPITAL","610 WEST MAIN STREET","Wilmington","OH","45177","CLINTON","0.968206","1 out of 10","1 out of 9","1 out of 10"
"260006","HEARTLAND REGIONAL MEDICAL CENTER","5325 FARAON STREET","Saint Joseph","MO","64506-6491","BUCHANAN","0.954798","2 out of 10","1 out of 9","2 out of 10"
"160083","MERCY MEDICAL CENTER-DES MOINES","1111 6TH AVE","Des Moines","IA","50314","POLK","0.946108","3 out of 10","0 out of 9","3 out of 10"
"150129","COMMUNITY WESTVIEW HOSPITAL","3630 GUION RD","Indianapolis","IN","46222","MARION","1.025521","0 out of 10","2 out of 9","2 out of 10"
"070018","GREENWICH HOSPITAL ASSOCIATION","5 PERRYRIDGE RD","Greenwich","CT","06830","FAIRFIELD","0.987613","0 out of 10","1 out of 9","1 out of 10"
"140148","MEMORIAL MEDICAL CENTER","701 N FIRST ST","Springfield","IL","62781","SANGAMON","0.972089","1 out of 10","0 out of 9","1 out of 10"
"110225","PIEDMONT MOUNTAINSIDE HOSPITAL INC","1266 HIGHWAY 515 SOUTH","Jasper","GA","30143","PICKENS","0.895680","6 out of 10","4 out of 9","6 out of 10"
"100296","DOCTORS HOSPITAL INC","5000 UNIVERSITY DR","Coral Gables","FL","33146","DADE","1.039112","0 out of 10","1 out of 9","1 out of 10"
"100239","EDWARD WHITE HOSPITAL","2323 9TH AVE N","Saint Petersburg","FL","33713","PINELLAS","1.053127","0 out of 10","0 out of 9","0 out of 10"
"340064","WILKES REGIONAL MEDICAL CENTER","1370 WEST D ST","North Wilkesboro","NC","28659","WILKES","0.962039","2 out of 10","0 out of 9","2 out of 10"
"050417","SUTTER COAST HOSPITAL","800 E WASHINGTON BLVD","Crescent City","CA","95531","DEL NORTE","0.837745","9 out of 10","6 out of 9","9 out of 10"
"450002","PROVIDENCE MEMORIAL HOSPITAL","2001 N OREGON ST","El Paso","TX","79902","EL PASO","1.028930","0 out of 10","0 out of 9","0 out of 10"
"050327","LOMA LINDA UNIVERSITY MEDICAL CENTER","11234 ANDERSON ST","Loma Linda","CA","92354","SAN BERNARDINO","0.976269","1 out of 10","0 out of 9","1 out of 10"
"370225","SUMMIT MEDICAL CENTER","1800 SOUTH RENAISSANCE BOULEVARD","Edmond","OK","73034","OKLAHOMA","1.038036","0 out of 10","0 out of 9","0 out of 10"
"280105","CHI HEALTH MIDLANDS","11111 SOUTH 84TH ST","Papillion","NE","68046","SARPY","1.024302","0 out of 10","0 out of 9","0 out of 10"
"520088","ST AGNES HOSPITAL","430 E DIVISON ST","Fond Du Lac","WI","54935","FOND DU LAC","0.910066","5 out of 10","4 out of 9","5 out of 10"
"160089","OTTUMWA REGIONAL HEALTH CENTER","1001 E PENNSYLVANIA","Ottumwa","IA","52501","WAPELLO","0.890493","6 out of 10","3 out of 9","6 out of 10"
"240106","REGIONS HOSPITAL","640 JACKSON STREET","Saint Paul","MN","55101","RAMSEY","0.966774","2 out of 10","0 out of 9","2 out of 10"
"170016","ST FRANCIS HEALTH CENTER INC","1700 SW 7TH STREET","Topeka","KS","66606","SHAWNEE","1.026183","0 out of 10","0 out of 9","0 out of 10"
"160079","MERCY MEDICAL CENTER - CEDAR RAPIDS","701 10TH STREET SE","Cedar Rapids","IA","52403","LINN","0.902410","5 out of 10","2 out of 9","5 out of 10"
